"id_coop","id_territoire"
"strasbourg3","strasbourg_t0001"
"strasbourg4","strasbourg_t0000"
"strasbourg4","strasbourg_t0001"
"strasbourg5","strasbourg_t0000"
"strasbourg5","strasbourg_t0001"
"toulon1","toulon_t0001"
"toulon1","toulon_t0002"
"toulon1","toulon_t0003"
"toulon1","toulon_t0000"
"toulouse2","toulouse_t0000"
"toulouse2","montpellier_t0000"
"toulouse3","toulouse_t0000"
"toulouse3","toulouse_t0001"
"toulouse4","toulouse_t0000"
"toulouse4","toulouse_t0002"
"toulouse5","toulouse_t0000"
"toulouse5","toulouse_t0003"
"toulouse6","toulouse_t0004"
"toulouse6","toulouse_t0000"
"toulouse7","toulouse_t0000"
"toulouse7","toulouse_t0005"
"tours1","tours_t0000"
"tours1","tours_t0001"
"tours2","tours_t0000"
"tours2","tours_t0002"
"tours3","tours_t0000"
"tours3","tours_t0003"
"tours4","tours_t0000"
"tours4","tours_t0004"
"tours5","tours_t0000"
"tours5","tours_t0005"
"tours6","tours_t0000"
"tours6","tours_t0006"
"tours7","tours_t0000"
"tours7","tours_t0007"
"tours8","tours_t0000"
"tours8","tours_t0008"
"tours9","tours_t0000"
"tours9","tours_t0009"
"tours10","tours_t0000"
"tours10","tours_t0010"
